dataset,task,model,seed,seconds_fit_and_evaluate,best_epoch,epochs_ran,parameters,peak_rss_kib_process,val_macro_f1,val_weighted_f1,val_accuracy,test_macro_f1,test_weighted_f1,test_accuracy
NF-ToN-IoT-v2,binary,edge_mlp,11,78.13685622599951,49,59,5378,1560740,0.9567330489913192,0.9798584584744215,0.97959291707472,0.9564651117982408,0.9797002097544664,0.97939180698668
NF-ToN-IoT-v2,binary,edge_mlp,22,65.99388221700065,60,60,5378,1560740,0.9546656999418228,0.978853718889294,0.9785341838490248,0.9544553633659164,0.9787223267123576,0.9783600746021878
NF-ToN-IoT-v2,binary,edge_mlp,33,100.42920642199896,56,60,5378,1560740,0.9541587558778196,0.9786047630870272,0.9782695005426008,0.954087608126018,0.9785250593003216,0.9781352098517216
NF-ToN-IoT-v2,binary,sage,11,480.0495374940001,28,38,86530,1560740,0.9768098002989812,0.9892745041739474,0.9892009210979064,0.9751541051928712,0.9885026405747324,0.988412851681856
NF-ToN-IoT-v2,binary,sage,22,412.06722868400175,17,27,86530,1560740,0.975480092739444,0.988664762229606,0.9885921494931316,0.9732947228293766,0.9876326049746702,0.9875266200182538
NF-ToN-IoT-v2,binary,sage,33,373.185316916999,20,30,86530,1560740,0.9741758844500888,0.9880342002598071,0.987930441227072,0.971683930182726,0.9868524787787916,0.986706525045965
NF-ToN-IoT-v2,binary,sage_edge,11,179.86371562100248,14,24,86608,1560740,0.9725446144825838,0.987302384851983,0.9872157962997272,0.9708664740437148,0.9865063660077302,0.9863890689276597
NF-ToN-IoT-v2,binary,sage_edge,22,169.84625637499994,13,23,86608,1560740,0.9732977060676756,0.9876340456986312,0.987533416267436,0.9711335276132118,0.9866205081844284,0.9864948876337616
NF-ToN-IoT-v2,binary,sage_edge,33,387.1298041910013,43,53,86608,1560740,0.976070443420783,0.9889060040138354,0.9888038961382706,0.9745473816651986,0.9881778074281242,0.9880424862104998
NF-CSE-CIC-IDS2018-v2,multiclass,edge_mlp,11,29.96318238299864,22,32,6023,1560740,0.7677243235362464,0.8826919310746643,0.8841544607190412,0.7639874185557531,0.881006216849614,0.883248730964467
NF-CSE-CIC-IDS2018-v2,multiclass,edge_mlp,22,19.832146374999866,11,21,6023,1560740,0.7634092748410132,0.8792450231599243,0.880392809587217,0.7602558293339584,0.8781167107705988,0.8796538237496879
